trip_id,trip_property_id,value
63868986,note,Waits at some downtown stations for connections
63868986,trip_type,wait
63869000,note,Waits at some downtown stations for connections
63869000,trip_type,wait
64574889,note,Waits at Park Street for last Red Line and Green Line trains
64574889,trip_type,wait
64574890,note,Waits at Park Street for last Red Line and Green Line trains
64574890,trip_type,wait
64594728,note,Waits at some downtown stations for connections
64594728,trip_type,wait
64594730,note,Waits at Park Street for last Red Line and Green Line trains
64594730,trip_type,wait
CR-677275-2816-1,note,Waits at Readville for Train 2716
CR-677275-2816-1,trip_type,wait
CR-677171-1802-1,note,Waits at Readville for Train 1702
CR-677171-1802-1,trip_type,wait
CR-677285-2814-1,note,Waits at Readville for Train 2714
CR-677285-2814-1,trip_type,wait
CR-677180-1812-1,note,Waits at Readville for Train 1712
CR-677180-1812-1,trip_type,wait
CR-677294-2818-1,note,Waits at Readville for Train 2718
CR-677294-2818-1,trip_type,wait
CR-677158-1808-1,note,Waits at Readville for Train 1708
CR-677158-1808-1,trip_type,wait
CR-677174-1806-1,note,Waits at Readville for Train 1706
CR-677174-1806-1,trip_type,wait
CR-677287-2802-1,note,Waits at Readville for Train 2702
CR-677287-2802-1,trip_type,wait
CR-677173-1814-1,note,Waits at Readville for Train 1714
CR-677173-1814-1,trip_type,wait
CR-677273-2808-1,note,Waits at Readville for Train 2708
CR-677273-2808-1,trip_type,wait
CR-677177-1800-1,note,Waits at Readville for Train 1700
CR-677177-1800-1,trip_type,wait
CR-677179-1818-1,note,Waits at Readville for Train 1718
CR-677179-1818-1,trip_type,wait
CR-677169-1810-1,note,Waits at Readville for Train 1710
CR-677169-1810-1,trip_type,wait
CR-677284-2812-1,note,Waits at Readville for Train 2712
CR-677284-2812-1,trip_type,wait
CR-677162-1816-1,note,Waits at Readville for Train 1716
CR-677162-1816-1,trip_type,wait
CR-677290-2810-1,note,Waits at Readville for Train 2710
CR-677290-2810-1,trip_type,wait
CR-677289-2800-1,note,Waits at Readville for Train 2700
CR-677289-2800-1,trip_type,wait
CR-677163-1804-1,note,Waits at Readville for Train 1704
CR-677163-1804-1,trip_type,wait
CR-677293-2804-1,note,Waits at Readville for Train 2704
CR-677293-2804-1,trip_type,wait
CR-677292-2806-1,note,Waits at Readville for Train 2706
CR-677292-2806-1,trip_type,wait
CR-660265-167,note,Waits at Salem for Train 127
CR-660265-167,trip_type,wait
CR-670254-757,note,Waits at Readville for Train 833
CR-670254-757,trip_type,wait
CR-670103-067,note,Waits at Braintree for Train 031
CR-670103-067,trip_type,wait
CR-670330-892,note,Waits at Readville for Train 732
CR-670330-892,trip_type,wait
CR-670302-862,note,Waits at Readville for Train 740
CR-670302-862,trip_type,wait
CR-670286-828,note,Waits at Readville for Train 752
CR-670286-828,trip_type,wait
CR-670211-635,note,Waits at Forest Hills for Train 841
CR-670211-635,trip_type,wait
CR-670210-633,note,Waits at Forest Hills for Train 839
CR-670210-633,trip_type,wait
CR-670256-759,note,Waits at Readville for Train 837
CR-670256-759,trip_type,wait
CR-670298-840,note,Waits at Readville for Train 734
CR-670298-840,trip_type,wait
CR-670236-735,note,Waits at Readville for Train 841
CR-670236-735,trip_type,wait
CR-670292-834,note,Waits at Readville for Train 728
CR-670292-834,trip_type,wait
CR-677275-2816,note,Waits at Readville for Train 2716
CR-677275-2816,trip_type,wait
CR-677171-1802,note,Waits at Readville for Train 1702
CR-677171-1802,trip_type,wait
CR-677285-2814,note,Waits at Readville for Train 2714
CR-677285-2814,trip_type,wait
CR-677180-1812,note,Waits at Readville for Train 1712
CR-677180-1812,trip_type,wait
CR-665302-1701,note,Waits at Readville for Train 1801
CR-665302-1701,trip_type,wait
CR-677294-2818,note,Waits at Readville for Train 2718
CR-677294-2818,trip_type,wait
CR-665274-1057,note,Waits at Braintree for Train 1021
CR-665274-1057,trip_type,wait
CR-677158-1808,note,Waits at Readville for Train 1708
CR-677158-1808,trip_type,wait
CR-665346-1713,note,Waits at Readville for Train 1813
CR-665346-1713,trip_type,wait
CR-665398-2713,note,Waits at Readville for Train 2813
CR-665398-2713,trip_type,wait
CR-677174-1806,note,Waits at Readville for Train 1706
CR-677174-1806,trip_type,wait
CR-665334-1717,note,Waits at Readville for Train 1817
CR-665334-1717,trip_type,wait
CR-665434-2701,note,Waits at Readville for Train 2801
CR-665434-2701,trip_type,wait
CR-665433-2703,note,Waits at Readville for Train 2803
CR-665433-2703,trip_type,wait
CR-665280-1703,note,Waits at Readville for Train 1803
CR-665280-1703,trip_type,wait
CR-677287-2802,note,Waits at Readville for Train 2702
CR-677287-2802,trip_type,wait
CR-677173-1814,note,Waits at Readville for Train 1714
CR-677173-1814,trip_type,wait
CR-665417-2709,note,Waits at Readville for Train 2809
CR-665417-2709,trip_type,wait
CR-677273-2808,note,Waits at Readville for Train 2708
CR-677273-2808,trip_type,wait
CR-665342-1705,note,Waits at Readville for Train 1805
CR-665342-1705,trip_type,wait
CR-665414-2717,note,Waits at Readville for Train 2817
CR-665414-2717,trip_type,wait
CR-665347-1711,note,Waits at Readville for Train 1811
CR-665347-1711,trip_type,wait
CR-677177-1800,note,Waits at Readville for Train 1700
CR-677177-1800,trip_type,wait
CR-665324-1719,note,Waits at Readville for Train 1819
CR-665324-1719,trip_type,wait
CR-677179-1818,note,Waits at Readville for Train 1718
CR-677179-1818,trip_type,wait
CR-677169-1810,note,Waits at Readville for Train 1710
CR-677169-1810,trip_type,wait
CR-677284-2812,note,Waits at Readville for Train 2712
CR-677284-2812,trip_type,wait
CR-665438-2707,note,Waits at Readville for Train 2807
CR-665438-2707,trip_type,wait
CR-665469-2057,note,Waits at Braintree for Train 2021
CR-665469-2057,trip_type,wait
CR-677162-1816,note,Waits at Readville for Train 1716
CR-677162-1816,trip_type,wait
CR-677290-2810,note,Waits at Readville for Train 2710
CR-677290-2810,trip_type,wait
CR-665380-2715,note,Waits at Readville for Train 2815
CR-665380-2715,trip_type,wait
CR-677289-2800,note,Waits at Readville for Train 2700
CR-677289-2800,trip_type,wait
CR-665336-1715,note,Waits at Readville for Train 1815
CR-665336-1715,trip_type,wait
CR-665338-1709,note,Waits at Readville for Train 1809
CR-665338-1709,trip_type,wait
